symbol,last_refreshed,open,high,low,close
IBM,2024-11-22 19:55:00,223.3000,223.3200,223.3000,223.3200
IBM,2024-11-22 19:55:00,223.3000,223.3200,223.3000,223.3200
IBM,2024-11-22 19:55:00,223.3000,223.3200,223.3000,223.3200
IBM,2024-11-22 19:55:00,223.3000,223.3200,223.3000,223.3200
IBM,2024-11-22 19:55:00,223.3000,223.3200,223.3000,223.3200
IBM,2024-11-22 19:55:00,223.3000,223.3200,223.3000,223.3200
IBM,2024-11-22 19:55:00,223.3000,223.3200,223.3000,223.3200
IBM,2024-11-22 19:55:00,223.3000,223.3200,223.3000,223.3200
IBM,2024-11-22 19:55:00,223.3000,223.3200,223.3000,223.3200
IBM,2024-11-22 19:55:00,223.3000,223.3200,223.3000,223.3200
IBM,2024-11-22 19:55:00,223.3000,223.3200,223.3000,223.3200
IBM,2024-11-22 19:55:00,223.3000,223.3200,223.3000,223.3200
IBM,2024-11-22 19:55:00,223.3000,223.3200,223.3000,223.3200
IBM,2024-11-22 19:55:00,223.3000,223.3200,223.3000,223.3200
IBM,2024-11-22 19:55:00,223.3000,223.3200,223.3000,223.3200
IBM,2024-11-22 19:55:00,223.3000,223.3200,223.3000,223.3200
IBM,2024-11-22 19:55:00,223.3000,223.3200,223.3000,223.3200
IBM,2024-11-22 19:55:00,223.3000,223.3200,223.3000,223.3200
IBM,2024-11-22 19:55:00,223.3000,223.3200,223.3000,223.3200
IBM,2024-11-22 19:55:00,223.3000,223.3200,223.3000,223.3200
